id,review_text,stars,sentiment_label,sentiment
en_0084845,"Smells great! Packaging failed, lost some oil.

The lemon in this package was not sealed with the plastic and the lid was loose. A 1/4 of the lemon oil leaked all over interior of box. Can I get a free replacement of the lemon?",3,1,neutral
en_0828890,"Fabric is very thin

I wear a 3X, or a 20-24 in plus size. I ordered a larger size because I saw others posting about the fit. Glad I did! Fabric is a bit thin, so this shirt won’t last long.",3,1,neutral
en_0835925,"so far not much progress

I've been taking these pills for about 4 months now and I don't see any difference yet. I will try for another couple of months,. If I don't see any results I will discontinue this product.",3,1,neutral
en_0675909,"Not satisfied

I was sent earring instead of the necklace I ordered.",1,0,negative
en_0194535,"good

work great and comfortable",4,2,positive
en_0603689,"unsure

easy to use but hard to read once on jars depending where they are put.",3,1,neutral
en_0097849,"Very heavy... certainly not for backpacking

This thing isn't waterproof and it's very heavy.. probably not the best choice for normal fishing... If your typical fish is less than #100 then you should go much lighter. -2 Stars for weight",3,1,neutral
en_0520749,"Works but not lightning

Received all chargers and they all work. Charges slow though, I get about 1% charge increase per minute. I’m going to find a lighting charger for better speed.",4,2,positive
en_0743532,"Destroyed during shipping

Product arrived damaged and box torn up.",1,0,negative
en_0623449,"Four Stars

the tall plant was misshapen but they are nice",4,2,positive
en_0011234,"As Advertised

This worked just fine - the glittery gold was a bit more 'cheesy-looking' than I expected for a pretty classy retirement party I had planned. But when I paired it with some fake succulent plants, on top of a white iced cake, it looked pretty good. Pay attention to measurements so you aren't surprised by the size.",4,2,positive
en_0067001,"Inconsistent sizing

Length is perfect but the sizing is so inconsistent! I bought two pairs to try on, 26, and 27. But the 27 is tighter than 26! And it’s literally an inch smaller...",1,0,negative
en_0855779,"Two Stars

To flimsy for anything but the lightest, fluffiest leaves or maybe cotton balls.",2,0,negative
en_0231458,"Three Stars

this fragrance and the Gain were both a bit too strong but I am trying others.",3,1,neutral
en_0047091,"Fantastic

Love everything about this!!",5,2,positive
en_0231406,"Two Stars

This coffee is meh. It doesn’t have the strength I need in the morning. Has a bizarre flavor.",2,0,negative
en_0245513,"A young adult book for all ages

I really enjoyed the book and look forward to the next one. It has s an exciting and loving story that all ages from upper elementary school children to adults will enjoy.",3,1,neutral
en_0287179,"My nose hurts

Cons: Biggest con is that the the indentation to adjust around nose is poorly done. I have a large nose and the plastic piece would hit my nose bridge which started hurting. Also, my phone is a 6 inch Zte blade zmax and it would not fit. Also the remote is cheaply made. Pros: if you overlook above cons, the product works. Its light. Remote needed a bit of setting up but it worked with games. I'm returning it to amazon because its painful to use and not practical.",2,0,negative
en_0065755,"Exact thing I needed after visiting every hardware store in Richmond, VA

I was worried I would need to replace all the railing on my front porch. This was all I needed. Thanks!",5,2,positive
en_0956865,"Just what I wanted. Thanks. fast delivery.

Just what I wanted. Thanks.fast delivery.",5,2,positive
en_0820910,"Only 90 capsules, not 120 as shown. Buyer beware!

Product works great. Problem is the write up and photos say 120 capsules, but what you get is only 90 capsules. Paid full price and only received 3/4 of the product. False advertising - buyer beware.",1,0,negative
en_0391522,"STAY AWAY you won’t receive anything, not even a reply.

Did not receive the weights and after repeated attempts to contact seller with no response I’m writing this review to tell you STAY AWAY. After looking around their price is not that good, try Target instead at least you’ll get the items you bought.",1,0,negative
en_0433974,"One Star

Poor material, cheap looking. Sent it back",1,0,negative
en_0978590,"Fun but

This game is very confusing , but I love it.",4,2,positive
en_0542564,"Not as good as other sand I have purchased

The sand is very different from the other sands we have it's very fine sand the grains are much smaller and it doesn't stick together very well like the others. The main reason we bought it was the glow in the dark feature which is ok but not great. After 10 minutes my grandson was ready to put it up and play with his other sands. It can be very messy if your not very careful and it also sticks to your hands.",3,1,neutral
en_0402049,"Above average

These pillow cases are good. I thought they were going to be some amazing thing, but really there's not much difference to them and any other good quality pillow case. I couldn't find anything that stood out, but that's ok. They get wrinkled super easily.",4,2,positive
en_0369833,"Four Stars

Good quality. Expected to be thicker, but does the job.",4,2,positive
en_0141841,"but it's not great.

Output is okay, but it doesn't attach securely. So 90% of the time when flipping it over, water leaks (in a big way, sometimes). It works for my needs, but it's not great.",3,1,neutral
